id,name,category_name,add_1,city,pincode,phone_1,phone_2,mobile_1,email_id,website
1757,Ambujeshwar Pandey,Associate Directors,"B-4, Ground Floor, Jasmine CHS, Near Saibaba Park, Evershine Nagar, Malad (W), Mumbai",Mumbai,,,,"9,830,000,000.00",ambujeshwar9@gmail.com,
1758,Archana Thavare Shah,Associate Directors,,,,022 2582 4664,,"9,820,000,000.00",archibit2@yahoo.co.in,
1759,Julee Jasmin,Associate Directors,,,,,,"9920382504, 9324693458",julee.jasmin@gmail.com,
1760,Mohit Rustagi,Associate Directors,"45/504, CSR Complex, Ekta Nagar, Mhada, Kandivali (W), Mumbai",Mumbai,,,,"7,720,000,000.00",msrustagi2009@gmail.com,
1761,Pride Subramanian,Associate Directors,"A/603, N.G. Galaxy, Beverly Park, Mira Road (E), Thane, 401 107",Thane,401 107,,,"9,930,000,000.00",pride.subramanian@gmail.com,
1762,Roopesh Poojary,Associate Directors,"A/15, Sai Chand Tara Building, Saibaba Complex, Goregaon (E), Mumbai",Mumbai,,,,"9,820,000,000.00",roopeshpoojary@gmail.com,
1763,Devicharan Prajapati (Sunrise Movie Productions),Associate Producers,"A/405, Shama Manzil, Behrambaug, Jogeshwari (W), Mumbai, 400 102",Mumbai,400 102,,,"8,880,000,000.00",,
1764,Siraj Kasmani,Associate Producers,"A-2/37, 4th Floor, Sai Nagar, Yari Road, Andheri (W), Mumbai, 400 061",Mumbai,400 061,,,"7,740,000,000.00",sirajkasmani77@gmail.com,
1765,Sunny Shah (Dharod Productions),Associate Producers,"154, Raj Chambers, Alibhai Premji Marg, Grant Road, Mumbai, 400 007",Mumbai,400 007,,,"9,830,000,000.00",dharodproductions@gmail.com,www.dharod.in
23972,A Treepur Studios,Studios,"Shri Yadvesh Compound, Water Tank Road, Near JVC Termite Company, Pimpri Pada, Goregaon (E), Mumbai, 400 097",Mumbai,400 097,,,"9930457444, 9821260828",tripurstudio@rediffmail.com,
23973,Action Filmz Production LLC,Studios,,,,"Dubai: +971 4 3416 638, Abu Dhabi: +971 2 6716 226",,#ERROR!,info@actionfilmz.com,www.actionfilmz.com
23974,Amar Studios,Studios,"Near B. B. Nayar Farm, Erangal, Madh-Marve Road, Malad (W), Mumbai, 400 064",Mumbai,400 064,,,"9819124759, 7600640074",amarchawda@gmail.com,
23975,"Baldaniya Film Studio - ""Chroma Studio""",Studios,"404, C-9, Devchhaya Shantinagar CHS. Ltd, Sector 3, Shantinagar, Mira Road (E), Thane, 400 107",Thane,400 107,,,"9892850511, 9699721211",baldaniya.com@gmail.com,www.baldaniya.com
23976,Basra Studios,Studios,"Singh Estate, Road 2, Samta Nagar, Kandivali (E), Mumbai, 400 101",Mumbai,400 101,,,"9869265232, 9819081160, 7666695670",basrastudio@gmail.com,www.basrastudio.com
23977,Brooks Studio,Studios,"Brooks House, Plot-67, Street 13, MIDC, Marol, Andheri (E), Mumbai, 400 093",Mumbai,400 093,,,"9820658848, 9820958848",brooksworks@hotmail.com,
23978,Celebration Film Pvt. Ltd.,Studios,"104, Renis CHS., Soni Complex Link Road, Chincholi Bunder, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
23979,Chandivali Studio / Chandivali Outdoor Location,Studios,"Chandivali Road, Via Sakinaka, Andheri (E), Mumbai, 400 072",Mumbai,400 072,"022 2847 1097, 022 2847 6348, 022 2857 1096",2847 2140,"9820201679, 9833779368",accounts@chandivalistudio.com,www.chandivalistudio.com
23980,Chetan Studio,Studios,"Mehta Estate, Ground Floor, Chakala, Opp. Mohan Studio, Andheri-Kurla Road, Andheri (E), Mumbai, 400 093",Mumbai,400 093,,,Thakkar-9819427776,,
23981,Chitrarth Studio,Studios,"Near Sharma Cottage, Behind Lake Castle Building, Hiranandani Complex, Powai, Mumbai, 400 076",Mumbai,400 076,022 2570 5538,,"9,820,000,000.00",ajit.dadheech@gmail.com,
23982,City Studio,Studios,"104-Renis CHS, Soni Complex Link Road, Chincholi Bunder, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash Joshi-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
23983,City Studio DRP,Studios,"PN-11936 (2-A) 34(2A), A. C. Shed, Malvani Gate 6, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash Joshi-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
23984,Classic Studio (Aslam Shaikh),Studios,"Khwajaâ€™s House, Punjab Foundry Compound, Mira-Bhayander Road, Kashimira, Mira Road (E), Thane, 400 104",Thane,400 104,022 2845 7518,2845 7517,"9,820,000,000.00",classicprecitech@yahoo.com,
23985,Dada Kondke Studios,Studios,"Gorhe, Post Office Khanapur, Taluka Haveli, , Pune",Pune,,,,"9920970705, 9920051051",vdkondke@yahoo.co.in,
23986,Ellora Studios,Studios,"S. V. Road, Kashimira Village, Mira Road (E), Thane",Thane,,022 6825 1701,,"9,870,000,000.00",vikram@ellorastudios.com,www.ellorastudios.com
23987,Emsquare Studios,Studios,"256/2044, Motilal Nagar 1, Off Link Road, Near Vibgyor School, Goregaon (W), Mumbai, 400 104",Mumbai,400 104,,,"9,770,000,000.00",sidpaul09@gmail.com,www.emsquarestudios.com
23988,Enzy Studios,Studios,"501/502-C, Lotus Corporate Park, Jai Coach, Ram Mandir Road, Goregaon (E), Mumbai",Mumbai,,,,"8,880,000,000.00",n.zaveri@enzystudios.com,
23989,Esel Studios,Studios,"Shahani Estate, V.N. Purav Marg, Sion Trombay Road, Trombay, Mumbai, 400 088",Mumbai,400 088,,,"9004141118, 9892954041",eseloutdoorlocation@gmail.com,www.eseloutdoorlocation.com
23990,Expressions Studios,Studios,"Bhatigaon, CTS - 1495, S No 131, Part A, Marve Road, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash Joshi-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
23991,Famous Studios Ltd.,Studios,"Famous Cine Building, Dr. E. Moses Road, Mahalaxmi, Mumbai, 400 011",Mumbai,400 011,"022 6153 1111, 022 2492 1343, 022 2493 7908",,,famous@famousstudios.com,www.famousstudios.com
23992,Film City (Dadasaheb Phalke Chitranagari),Studios,"Goregaon (E), Mumbai, 400 065",Mumbai,400 065,"022 2840 1533, 022 2840 1755, 022 2840 3530",,Film City Tour - 9082109347,info@filmcitymumbai.com,www.filmcitymumbai.org
23993,Filmalaya (P) Ltd.,Studios,"Caesar Road, Amboli, Andheri (W), Mumbai, 400 058",Mumbai,400 058,"022 2677 0012, 022 2677 0013, 022 2677 0014",,,shubirmukerji@hotmail.com,www.filmalaya.in
23994,Filmistan Studios,Studios,"S. V. Road, Goregaon (W), Mumbai, 400 062",Mumbai,400 062,"022 2872 2207, 022 2872 2124, 022 2873 0763",,,filmistanstudio@gmail.com,www.filmistan.com
23995,Focus Pictures,Studios,,,,,,"Mr. Parjeet Singh - 8828080064, Mr. Surjeet Singh - 9820249707",parjeetnain@gmail.com,
23996,Frizzon Services Pvt. Ltd,Studios,"B/604, New India Chambers, Near Kaatyayani Business Park, MIDC, Andheri (E), Mumbai, 400 093",Mumbai,400 093,,,"9412203620, 9920939916",info@frizzon.co,
23997,Future Studio,Studios,"18, Cama Industrial Estate, Walbhat Road, Goregaon (E), Mumbai, 400 063",Mumbai,400 063,,,"9224641175, 9820216164",archana.shourie@yahoo.com,www.future-studio.net
23998,G. M. Studios (Brijesh Maurya),Studios,"Kherani Road, Behind Solo India L, Sakinaka, Andheri (E), Mumbai, 400 072",Mumbai,400 072,,,"9,830,000,000.00",bmaurya@yahoo.com,www.gmstudiosent.in
23999,Green Shoot Here Studios,Studios,"PN-11936 (2-A)34(2A), A.C. Shed, Malvani Gate 6, Malad (W), Mumbai, 400 064",Mumbai,400 064,"022 2872 0401, 022 2872 0402, 022 2872 0403",,"Dinesh-9820199786, Prakash Joshi-9867099786",dhthakkar9@gmail.com,www.citystudio.co.in
24000,Green Valley Studios,Studios,"Darga Road, Masechapada, Kashimira, Near Agarwal Village, Mira Road (E), Thane",Thane,,,,"8898337299, 9820289456",greenvalleystudios@gmail.com,
24001,Haiban Studio,Studios,"D-3/4/5, Hatkesh Udyog Nagar, Mira Road (E), Thane, 400 107",Thane,400 107,"Rajendra Soni - 7030328608, 8551095467",,Deepak Panchasara-9833250560,haibaninfo@gmail.com,
24002,J. S. Studio (Jay Krishna Mandal),Studios,"1011, Near Lotus Petrol Pump, Opp. OES International School, Adarsh Nagar, Andheri (W), Mumbai, 400 102",Mumbai,400 102,,,"9,170,000,000.00",jhumashreestudio@gmail.com,
24003,Jannat (Praveen Kumar),Studios,"40, Link Plaza, Near Shreeji, Oshiwara, Andheri (W), Mumbai, 400 102",Mumbai,400 102,,,"9873570660, 9873155220, 8595594044",directorbrandbiggie@gmail.com,
24004,Jeet Studio,Studios,"Bungalow 30, 4 Bungalows, Mhada, Jankidevi School Road, Andheri (W), Mumbai, 400 053",Mumbai,400 053,,,"9322060366, 8369960601",jeetstudio@gmail.com,www.jeetstudio.com
24005,Khoja Bungalows & Other Bungalows,Studios,"Flat 404, 22/B, New Dindoshi, Hill View CHS., New Mhada Complex, Opp. Mantri Park, Goregaon (E), Mumbai",Mumbai,,,,"9820249707, 8828080064",surjeet121275@gmail.com,
